,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
0,1173312649137917953,Sports News & Bets,2019-09-15 19:08:29,28598,23932,"['hero', 'beat', 'win', 'cup']","['hero', 'beat', 'win', 'cup']","['hero', 'beat', 'win', 'cup']"
1,1173197821878644737,AdamSchefter,2019-09-15 11:32:12,7507957,3031,"['end', 'error', 'today', 'final', 'time', 'raiders', 'play', 'home', 'game', 'baseball', 'diamond', 'still', 'visible', 'field', 'coliseum', 'last', 'dual', 'sport', 'stadium']","['end', 'error', 'today', 'final', 'time', 'raider', 'play', 'home', 'game', 'basebal', 'diamond', 'still', 'visibl', 'field', 'coliseum', 'last', 'dual', 'sport', 'stadium']","['end', 'error', 'today', 'final', 'time', 'raider', 'play', 'home', 'game', 'baseball', 'diamond', 'still', 'visible', 'field', 'coliseum', 'last', 'dual', 'sport', 'stadium']"
2,1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"['desperate', 'stop', 'arsenal', 'qualifying', 'champions', 'league']","['desper', 'stop', 'arsen', 'qualifi', 'champion', 'leagu']","['desperate', 'stop', 'arsenal', 'qualifying', 'champion', 'league']"
3,1173312633132474368,Footy Corner,2019-09-15 19:08:25,2181,782,"['arsenal', 'blew', 'two', 'goal', 'lead', 'despite', 'looking', 'comfortable', 'end', 'first', 'half']","['arsen', 'blew', 'two', 'goal', 'lead', 'despit', 'look', 'comfort', 'end', 'first', 'half']","['arsenal', 'blew', 'two', 'goal', 'lead', 'despite', 'looking', 'comfortable', 'end', 'first', 'half']"
4,1173312630783717382,steven,2019-09-15 19:08:24,0,0,"['another', 'day', 'sport']","['anoth', 'day', 'sport']","['another', 'day', 'sport']"
6,1173312622416060416,Jordan Rushworth,2019-09-15 19:08:22,342,803,"['really', 'conceding', 'title', 'five', 'matches', 'title', 'realistically', 'still', 'city', 'hands', 'win', 'however', 'unlikely', 'remaining', 'games']","['realli', 'conced', 'titl', 'five', 'match', 'titl', 'realist', 'still', 'citi', 'hand', 'win', 'howev', 'unlik', 'remain', 'game']","['really', 'conceding', 'title', 'five', 'match', 'title', 'realistically', 'still', 'city', 'hand', 'win', 'however', 'unlikely', 'remaining', 'game']"
7,1173073971358654466,KicksDeals,2019-09-15 03:20:04,402898,11640,"['new', 'balance', 'sport', 'sale', 'retail', 'ship', 'promotion', 'buy', 'gt']","['new', 'balanc', 'sport', 'sale', 'retail', 'ship', 'promot', 'buy', 'gt']","['new', 'balance', 'sport', 'sale', 'retail', 'ship', 'promotion', 'buy', 'gt']"
8,1173256640000380928,Kerry_Official,2019-09-15 15:25:55,61214,677,"['manager', 'peter', 'terribly', 'proud', 'lads']","['manag', 'peter', 'terribl', 'proud', 'lad']","['manager', 'peter', 'terribly', 'proud', 'lad']"
9,1173301376601985025,MirrorFootball,2019-09-15 18:23:41,557778,912,"['emery', 'explains', 'arsenal', 'lost', 'control', 'game']","['emeri', 'explain', 'arsen', 'lost', 'control', 'game']","['emery', 'explains', 'arsenal', 'lost', 'control', 'game']"
11,1173018063362494465,Rxhma9,2019-09-14 23:37:54,527,416,"['wearing', 'winter', 'make', 'sure', 'get', 'wet', 'bottom', 'extreme', 'sport']","['wear', 'winter', 'make', 'sure', 'get', 'wet', 'bottom', 'extrem', 'sport']","['wearing', 'winter', 'make', 'sure', 'get', 'wet', 'bottom', 'extreme', 'sport']"
12,1173312275811201024,ManUtdMEN,2019-09-15 19:07:00,248724,313,"['far', 'good']","['far', 'good']","['far', 'good']"
13,1173243548352819200,MSportLtd,2019-09-15 14:33:54,77675,596,"['great', 'drive', 'propelled', 'battle', 'fourth', 'place', 'championship', 'great', 'experience', 'gravel', 'debut', 'fiesta', 'read']","['great', 'drive', 'propel', 'battl', 'fourth', 'place', 'championship', 'great', 'experi', 'gravel', 'debut', 'fiesta', 'read']","['great', 'drive', 'propelled', 'battle', 'fourth', 'place', 'championship', 'great', 'experience', 'gravel', 'debut', 'fiesta', 'read']"
14,1173273969492922372,BBCSport,2019-09-15 16:34:47,8015185,315,"['wow', 'wow', 'wow', 'united', 'states', 'needed', 'half', 'point', 'retain', 'three', 'final', 'matches', 'regain', 'trophy', 'united', 'states', 'incredible']","['wow', 'wow', 'wow', 'unit', 'state', 'need', 'half', 'point', 'retain', 'three', 'final', 'match', 'regain', 'trophi', 'unit', 'state', 'incred']","['wow', 'wow', 'wow', 'united', 'state', 'needed', 'half', 'point', 'retain', 'three', 'final', 'match', 'regain', 'trophy', 'united', 'state', 'incredible']"
15,1173312001080254465,PorscheSauce,2019-09-15 19:05:54,13686,1552,"['ages', 'club', 'sport', 'low', 'miler', 'restoration', 'done', 'monster', 'asking', 'making', 'anymore', 'future', 'classic', 'looks', 'sauce', 'speed', 'yellow', 'cars', 'made']","['age', 'club', 'sport', 'low', 'miler', 'restor', 'done', 'monster', 'ask', 'make', 'anymor', 'futur', 'classic', 'look', 'sauc', 'speed', 'yellow', 'car', 'made']","['age', 'club', 'sport', 'low', 'miler', 'restoration', 'done', 'monster', 'asking', 'making', 'anymore', 'future', 'classic', 'look', 'sauce', 'speed', 'yellow', 'car', 'made']"
16,1173312578388451328,Atiq Bhagwan,2019-09-15 19:08:12,397,1112,"['sport', 'mention', 'st', 'champions', 'league']","['sport', 'mention', 'st', 'champion', 'leagu']","['sport', 'mention', 'st', 'champion', 'league']"
17,1171925591408308224,matthewgoode__,2019-09-11 23:16:48,75,60,['sport'],['sport'],['sport']
18,1173099229230829568,TheEchoOnline,2019-09-15 05:00:26,6992,3132,"['south', 'gymnasts', 'clean', 'stage']","['south', 'gymnast', 'clean', 'stage']","['south', 'gymnast', 'clean', 'stage']"
20,1173131866347573248,AbsoluteDice,2019-09-15 07:10:07,10694,10560,"['follow', 'amp', 'rt', 'win', 'one', 'three', 'absolute', 'dice', 'sport', 'games', 'winner', 'chosen', 'random', 'th', 'sept', 'worldwide', 'comp', 'sporty', 'fun', 'everyone', 'win', 'freebie', 'competition', 'prize', 'giveaway', 'sport']","['follow', 'amp', 'rt', 'win', 'one', 'three', 'absolut', 'dice', 'sport', 'game', 'winner', 'chosen', 'random', 'th', 'sept', 'worldwid', 'comp', 'sporti', 'fun', 'everyon', 'win', 'freebi', 'competit', 'prize', 'giveaway', 'sport']","['follow', 'amp', 'rt', 'win', 'one', 'three', 'absolute', 'dice', 'sport', 'game', 'winner', 'chosen', 'random', 'th', 'sept', 'worldwide', 'comp', 'sporty', 'fun', 'everyone', 'win', 'freebie', 'competition', 'prize', 'giveaway', 'sport']"
21,1173312547065384962,GOD,2019-09-15 19:08:04,474,415,"['better', 'sport', 'offer', 'even', 'joking']","['better', 'sport', 'offer', 'even', 'joke']","['better', 'sport', 'offer', 'even', 'joking']"
22,1173311202732191744,jonathanliew,2019-09-15 19:02:44,67879,657,"['best', 'series', 'since', 'result', 'england', 'wanted', 'finish', 'deserved', 'fifth', 'test', 'report']","['best', 'seri', 'sinc', 'result', 'england', 'want', 'finish', 'deserv', 'fifth', 'test', 'report']","['best', 'series', 'since', 'result', 'england', 'wanted', 'finish', 'deserved', 'fifth', 'test', 'report']"
23,1173312534465654785,Rosario Tijeras,2019-09-15 19:08:01,6705,827,"['figuring', 'saying', 'hi', 'person', 'knows', 'social', 'media', 'drunk', 'extreme', 'sport']","['figur', 'say', 'hi', 'person', 'know', 'social', 'media', 'drunk', 'extrem', 'sport']","['figuring', 'saying', 'hi', 'person', 'know', 'social', 'medium', 'drunk', 'extreme', 'sport']"
24,1173297930930991104,BBCSport,2019-09-15 18:10:00,8015185,315,"['make', 'amends', 'l', 'front', 'page', 'headline', 'take', 'win', 'fans']","['make', 'amend', 'l', 'front', 'page', 'headlin', 'take', 'win', 'fan']","['make', 'amends', 'l', 'front', 'page', 'headline', 'take', 'win', 'fan']"
25,1173312531097686017,Freelancer Dilip,2019-09-15 19:08:01,4,179,"['digital', 'marketer', 'bookmark', 'submission', 'business']","['digit', 'market', 'bookmark', 'submiss', 'busi']","['digital', 'marketer', 'bookmark', 'submission', 'business']"
